City_ID,City,Country,Date,Humidity,Lat,Long,Max Temp(F),Cloudiness,Wind Speed
0,Cape Town,ZA,1600206576,76,-33.93,18.42,11,6,2.1
1,Nemuro,JP,1600206576,83,43.32,145.57,18.29,100,6.26
2,Butaritari,KI,1600206577,73,3.07,172.79,28.69,90,8.27
3,Punta Arenas,CL,1600206491,56,-53.15,-70.92,5,40,8.7
4,Baiyin,CN,1600206577,93,36.56,104.21,13.89,80,3
5,Teguise,ES,1600206577,78,29.06,-13.56,24,20,6.7
6,Castro,BR,1600206578,75,-24.79,-50.01,15.24,72,3.43
7,Ushuaia,AR,1600206578,74,-54.8,-68.3,3,40,10.3
8,Malibu,US,1600206578,79,34.01,-118.81,30,0,2.24
9,Busselton,AU,1600206578,79,-33.65,115.33,11.11,40,4.77
10,Ketchikan,US,1600206578,67,55.34,-131.65,17,1,5.7
11,Ponta do Sol,PT,1600206579,78,32.67,-17.1,23,40,5.1
12,Arica,CL,1600206386,72,-18.48,-70.3,18,100,5.7
13,Richards Bay,ZA,1600206579,76,-28.78,32.04,18.49,100,3.22
14,Port Alfred,ZA,1600206579,79,-33.59,26.89,15.48,99,6.4
15,Marabu,MY,1600206580,100,4.41,114.01,24,40,2.1
16,Neyshabur,IR,1600206580,38,36.21,58.8,14.44,0,0.71
17,Labuhan,ID,1600206580,78,-6.88,112.21,24.4,35,4.09
18,Albany,US,1600206580,54,42.6,-73.97,17.22,3,1.25
19,Fort-Shevchenko,KZ,1600206581,67,44.51,50.26,21.68,0,7.97
20,Klaksvík,FO,1600206581,100,62.23,-6.59,6,26,0.5
21,Longyearbyen,SJ,1600206581,95,78.22,15.64,0,75,1
22,Tabuk,PH,1600206412,88,17.42,121.44,23.19,100,0.36
23,Mar del Plata,AR,1600206561,38,-38,-57.56,16.11,30,7.2
24,San Joaquin,VE,1600206582,79,10.26,-67.79,26.2,92,1.99
25,Narsaq,GL,1600206582,40,60.92,-46.05,12,75,5.7
26,Kochki,RU,1600206582,58,54.34,80.48,13.54,100,6.28
27,Kapaa,US,1600206583,58,22.08,-159.32,30,20,4.6
28,Ballarat,AU,1600206583,96,-37.57,143.85,7.78,100,2.24
29,Esperance,AU,1600206583,93,-33.87,121.9,14,90,5.1
30,Lapta,CY,1600206583,88,35.34,33.18,25,0,3.1
31,Thompson,CA,1600206584,58,55.74,-97.86,11,75,7.7
32,Tautira,PF,1600206584,66,-17.73,-149.15,29,40,4.6
33,West Bay,KY,1600206584,74,19.37,-81.42,31,20,6.7
34,Bredasdorp,ZA,1600206512,71,-34.53,20.04,12,36,2.1
35,‘Ewa Beach,US,1600206325,58,21.32,-158.01,30,1,5.7
36,Rikitea,PF,1600206584,73,-23.12,-134.97,23.16,8,2.73
37,Bambous Virieux,MU,1600206585,72,-20.34,57.76,20,75,3.6
38,Chifeng,CN,1600206585,68,42.27,118.96,8.84,0,6.65
39,Savelugu,GH,1600206585,86,9.62,-0.83,25.23,52,1.34
40,Jamestown,US,1600206586,51,42.1,-79.24,18.89,1,2.1
41,Mataura,NZ,1600206586,80,-46.19,168.86,8.89,100,4.92
42,Ville-Marie,CA,1600206586,93,47.33,-79.43,10,90,6.2
43,Hilo,US,1600206317,58,19.73,-155.09,29,40,4.1
44,Tiksi,RU,1600206587,90,71.69,128.87,3.26,6,0.04
45,Port Elizabeth,ZA,1600206587,77,-33.92,25.57,15,20,3.1
46,Miura,JP,1600206587,94,35.14,139.62,23.89,75,2.6
47,Luwuk,ID,1600206588,79,-0.95,122.79,24.44,94,2.6
48,Laas,IT,1600206588,93,46.62,10.7,15.56,5,0.5
49,Qaqortoq,GL,1600206588,40,60.72,-46.03,12,75,5.7
50,Hobart,AU,1600206588,75,-42.88,147.33,10.56,90,2.6
51,Porbandar,IN,1600206588,80,21.64,69.61,27.52,99,4.25
52,Mazagão,BR,1600206589,66,-0.12,-51.29,32,20,2.6
53,Lochem,NL,1600206589,81,52.16,6.41,20,21,2.02
54,Codrington,AU,1600206589,83,-38.27,141.97,9.03,100,4.58
55,George Town,MY,1600206310,94,5.41,100.34,26,20,1
56,Arman',RU,1600206590,67,59.7,150.17,10.07,78,3.16
57,Viedma,AR,1600206346,57,-40.81,-63,12.22,93,0.89
58,Jönköping,SE,1600206590,100,57.78,14.16,12,15,2.1
59,Hanna,CA,1600206590,62,51.63,-111.9,12.22,75,2.24
60,Sørland,NO,1600206591,87,67.67,12.69,8,75,4.1
61,New Norfolk,AU,1600206591,65,-42.78,147.06,10,100,2.68
62,Hasaki,JP,1600206591,94,35.73,140.83,21.11,75,3.1
63,Arraial do Cabo,BR,1600206591,88,-22.97,-42.03,23,75,4.1
64,Soure,BR,1600206592,82,-0.72,-48.52,27.15,29,7.91
65,Kumul,CN,1600206592,25,42.8,93.45,17.58,100,1.13
66,Faanui,PF,1600206592,77,-16.48,-151.75,25.57,0,6.4
67,Airai,TL,1600206592,68,-8.93,125.41,12.62,27,1.37
68,Avarua,CK,1600206593,65,-21.21,-159.78,25,76,7.2
69,Belaya Gora,RU,1600206593,88,68.53,146.42,7.39,99,2.81
70,Port Lincoln,AU,1600206593,53,-34.73,135.87,13.68,100,2.67
71,San Andrés,CO,1600206505,94,12.58,-81.7,25,75,2.6
72,Ushtobe,KZ,1600206594,32,45.25,77.98,18.81,76,4.54
73,Awjilah,LY,1600206594,24,29.11,21.29,31.11,34,7
74,Fomboni,KM,1600206594,77,-12.28,43.74,24.72,0,2.89
75,Tuktoyaktuk,CA,1600206594,80,69.45,-133.04,2,20,4.6
76,Lavrentiya,RU,1600206594,92,65.58,-171,7.49,99,4.75
77,Provideniya,RU,1600206595,87,64.38,-173.3,8,90,4
78,Aykhal,RU,1600206595,81,66,111.5,8,0,2
79,Upernavik,GL,1600206595,85,72.79,-56.15,-2.33,0,4.61
80,Tasiilaq,GL,1600206595,86,65.61,-37.64,1,100,13.9
81,Geraldton,AU,1600206595,72,-28.77,114.6,18,90,6.2
82,Yerbogachën,RU,1600206596,84,61.28,108.01,5.69,54,0.4
83,Innisfail,AU,1600206596,98,-17.53,146.03,16.67,93,1.79
84,Elmina,GH,1600206596,89,5.09,-1.35,24.15,99,4.97
85,Stepnogorsk,KZ,1600206596,67,52.35,71.89,9.5,3,7.63
86,Barrow,US,1600206329,93,71.29,-156.79,2,90,11.3
87,Bluff,NZ,1600206597,80,-46.6,168.33,8.89,100,4.92
88,Tanete,ID,1600206597,86,-3.94,119.78,22.36,53,2.84
89,Darnah,LY,1600206597,76,32.77,22.64,24.99,42,3.51
90,Yulara,AU,1600206597,38,-25.24,130.99,16,40,2.6
91,Portland,US,1600206597,56,45.52,-122.68,24.44,90,1.5
92,Dikson,RU,1600206598,94,73.51,80.55,6.39,100,10.07
93,Atuona,PF,1600206598,76,-9.8,-139.03,25.77,16,8.36
94,Hermanus,ZA,1600206598,92,-34.42,19.23,8.89,30,3.14
95,Paraíso,CR,1600206316,83,9.84,-83.87,23,40,3.1
96,Yeppoon,AU,1600206599,77,-23.13,150.73,18,90,3.1
97,Vestmannaeyjar,IS,1600206599,69,63.44,-20.27,8.67,77,3.07
98,Sitka,US,1600206599,62,57.05,-135.33,14,1,2.1
99,Temba,ZA,1600206599,35,-25.38,28.26,23,87,6.2
100,Angoche,MZ,1600206600,88,-16.23,39.91,22.94,0,4.55
101,Marsh Harbour,BS,1600206600,66,26.54,-77.06,28.81,58,3.65
102,San Patricio,MX,1600206600,73,19.22,-104.7,29.73,43,4.03
103,Qaanaaq,GL,1600206600,81,77.48,-69.36,-6.68,0,1.05
104,Cayenne,GF,1600206601,78,4.93,-52.33,27,67,3.1
105,Yangshe,CN,1600206601,99,31.89,120.61,22.22,61,2.31
106,Vengerovo,RU,1600206601,68,55.68,76.75,14.07,82,6.06
107,Vaini,TO,1600206602,78,-21.2,-175.2,24,40,6.2
108,Kruisfontein,ZA,1600206602,89,-34,24.73,10.56,1,1.15
109,Shahrud,IR,1600206602,49,36.42,54.98,13.52,0,2.58
110,Khatanga,RU,1600206603,89,71.97,102.5,7.96,100,2.66
111,Ventspils,LV,1600206603,100,57.39,21.56,12,100,0.5
112,Lake Cowichan,CA,1600206604,53,48.83,-124.05,23,90,1.5
113,Lebu,CL,1600206604,96,-37.62,-73.65,10.53,100,2.71
114,Forsytheganj,BY,1600206604,92,52.63,29.73,13.89,17,1.01
115,Figueiró,PT,1600206604,76,41.3,-8.17,20.56,49,0.48
116,Promyshlennaya,RU,1600206605,81,54.92,85.64,9,100,2
117,East London,ZA,1600206605,77,-33.02,27.91,16.21,100,4.39
118,Ancud,CL,1600206605,66,-41.87,-73.82,10.56,100,0.45
119,Cabo San Lucas,MX,1600206551,66,22.89,-109.91,31,20,7.7
120,Banda Aceh,ID,1600206606,72,5.56,95.32,26.49,100,5.96
121,Qena,EG,1600206606,22,26.16,32.72,28.61,0,2.94
122,Melfi,IT,1600206606,88,41,15.65,23,40,3.6
123,Puerto Parra,CO,1600206606,71,6.65,-74.06,30.31,90,1.04
124,Yenagoa,NG,1600206607,92,4.92,6.26,23.83,100,2.24
125,Tuatapere,NZ,1600206608,79,-46.13,167.68,8.89,100,4.47
126,Pangody,RU,1600206608,84,65.85,74.49,10.12,100,5.13
127,Thunder Bay,CA,1600206418,82,48.4,-89.32,17,90,4.6
